Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-06-27,14.11,14.34,13.59,13.74,13.74,0,201
2023-06-28,13.9,13.96,13.36,13.43,13.43,0,202
2023-06-29,13.64,13.85,13.41,13.54,13.54,0,203
2023-06-30,13.51,13.59,12.96,13.59,13.59,0,204
2023-07-03,13.85,13.85,13.47,13.57,13.57,0,205
2023-07-04,null,null,null,null,null,null,206
2023-07-05,14.19,14.74,14.05,14.18,14.18,0,207
2023-07-06,14.85,17.08,14.79,15.44,15.44,0,208
2023-07-07,15.97,16.059999,14.33,14.83,14.83,0,209
2023-07-10,16.08,16.209999,15.04,15.07,15.07,0,210
2023-07-11,15.02,15.25,14.63,14.84,14.84,0,211
2023-07-12,14.82,14.82,13.51,13.54,13.54,0,212
2023-07-13,13.44,13.61,13.12,13.61,13.61,0,213
2023-07-14,13.72,13.76,13.22,13.34,13.34,0,214
2023-07-17,13.78,14,13.43,13.48,13.48,0,215
2023-07-18,13.61,13.67,13.29,13.3,13.3,0,216
2023-07-19,13.32,13.84,13.12,13.76,13.76,0,217
2023-07-20,13.96,14.23,13.58,13.99,13.99,0,218
2023-07-21,13.87,13.89,13.37,13.6,13.6,0,219
2023-07-24,14.29,14.3,13.73,13.91,13.91,0,220
2023-07-25,14.02,14.09,13.82,13.86,13.86,0,221
2023-07-26,13.86,14.16,13.15,13.19,13.19,0,222
2023-07-27,13.14,15.02,12.74,14.41,14.41,0,223
2023-07-28,14.03,14.18,13.27,13.33,13.33,0,224
2023-07-31,13.98,14.09,13.57,13.63,13.63,0,225
2023-08-01,13.75,14.3,13.75,13.93,13.93,0,226
2023-08-02,15.7,16.48,14.95,16.09,16.09,0,227
2023-08-03,16.77,17.42,15.72,15.92,15.92,0,228
2023-08-04,16.01,17.389999,14.57,17.1,17.1,0,229
2023-08-07,16.9,17.360001,15.77,15.77,15.77,0,230
2023-08-08,16.280001,18.139999,15.96,15.99,15.99,0,231
2023-08-09,15.81,16.870001,15.38,15.96,15.96,0,232
2023-08-10,15.58,16.860001,14.6,15.85,15.85,0,233
2023-08-11,15.53,16.51,14.84,14.84,14.84,0,234
2023-08-14,15.88,16.059999,14.77,14.82,14.82,0,235
2023-08-15,14.95,16.57,14.91,16.459999,16.459999,0,236
2023-08-16,16.540001,16.93,15.8,16.780001,16.780001,0,237
2023-08-17,16.959999,18.129999,16.4,17.889999,17.889999,0,238
2023-08-18,17.799999,18.879999,17.139999,17.299999,17.299999,0,239
2023-08-21,18.030001,18.110001,16.879999,17.129999,17.129999,0,240
2023-08-22,16.959999,17.58,16.610001,16.969999,16.969999,0,241
2023-08-23,16.639999,17.1,15.91,15.98,15.98,0,242
2023-08-24,15.57,17.32,15.48,17.200001,17.200001,0,243
2023-08-25,17.209999,17.360001,15.45,15.68,15.68,0,244
2023-08-28,16.24,16.280001,15,15.08,15.08,0,245
2023-08-29,15.08,15.3,14.34,14.45,14.45,0,246
2023-08-30,14.53,14.7,13.83,13.88,13.88,0,247
2023-08-31,13.98,14,13.44,13.57,13.57,0,248
2023-09-01,13.56,13.56,13.02,13.09,13.09,0,249
2023-09-04,null,null,null,null,null,null,250
2023-09-05,14.15,14.47,13.7,14.01,14.01,0,251
2023-09-06,14.27,15.3,14.13,14.45,14.45,0,252
2023-09-07,14.81,15.69,14.4,14.4,14.4,0,253
2023-09-08,14.22,14.87,13.58,13.84,13.84,0,254
2023-09-11,14.17,14.33,13.74,13.8,13.8,0,255
2023-09-12,14.02,14.42,13.71,14.23,14.23,0,256
2023-09-13,14.42,14.68,13.41,13.48,13.48,0,257
2023-09-14,13.39,13.46,12.79,12.82,12.82,0,258
2023-09-15,12.7,14.17,12.68,13.79,13.79,0,259
2023-09-18,14.4,14.75,13.86,14,14,0,260
