Date,Open,High,Low,Close,Adj_Close,Volume,Day
2017-05-11,6.830833,6.905833,6.7,6.871667,6.696126,32400,915
2017-05-12,6.913333,6.913333,6.860833,6.908333,6.731854,19200,916
2017-05-15,6.956667,7.145833,6.956667,7.083333,6.902384,75600,917
2017-05-16,7.174167,7.268333,7.171667,7.268333,7.082657,13200,918
2017-05-17,7.108333,7.166667,6.751667,6.78,6.6068,152400,919
2017-05-18,6.7125,6.960833,6.645,6.95,6.772456,56400,920
2017-05-19,7.026667,7.166667,7.026667,7.089167,6.908068,181200,921
2017-05-22,7.14,7.295,7.14,7.295,7.108644,93600,922
2017-05-23,7.334167,7.334167,7.161667,7.206667,7.022567,96000,923
2017-05-24,7.306667,7.3125,7.2575,7.306667,7.120014,82800,924
2017-05-25,7.315,7.403333,7.253333,7.395833,7.206901,129600,925
2017-05-26,7.313333,7.460833,7.313333,7.460833,7.270239,22800,926
2017-05-30,7.5025,7.571667,7.481667,7.509167,7.317339,187200,927
2017-05-31,7.6575,7.6575,7.443333,7.481667,7.290542,90000,928
2017-06-01,7.5775,7.5775,7.414167,7.4825,7.291354,112800,929
2017-06-02,7.538333,7.691667,7.538333,7.685833,7.489492,70800,930
2017-06-05,7.743333,7.800833,7.685833,7.734167,7.536592,105600,931
2017-06-06,7.675,7.868333,7.5825,7.748333,7.550396,134400,932
2017-06-07,7.861667,7.891667,7.78,7.848333,7.64784,134400,933
2017-06-08,7.9725,8.115,7.865833,8.115,7.907697,90000,934
2017-06-09,8.285833,8.285833,7.188333,7.388333,7.199593,477600,935
2017-06-12,7.24,7.415833,7.005,7.35,7.162238,266400,936
2017-06-13,7.470833,7.591667,7.391667,7.4625,7.271865,214800,937
2017-06-14,7.5,7.620833,7.25,7.2725,7.086718,79200,938
2017-06-15,7.139167,7.2275,7.129167,7.225,7.040431,80400,939
2017-06-16,7.305,7.305,7.1275,7.169167,6.986025,115200,940
2017-06-19,7.3725,7.468333,7.365833,7.468333,7.277549,58800,941
2017-06-20,7.509167,7.509167,7.216667,7.216667,7.032311,70800,942
2017-06-21,7.225,7.36,7.225,7.35,7.16911,34800,943
2017-06-22,7.396667,7.396667,7.255833,7.306667,7.126843,32400,944
2017-06-23,7.225,7.393333,7.225,7.314167,7.134158,75600,945
2017-06-26,7.42,7.42,7.124167,7.185833,7.008983,45600,946
2017-06-27,7.041667,7.083333,6.795,6.795833,6.628581,103200,947
2017-06-28,6.833333,7.074167,6.81,7.0675,6.893562,48000,948
2017-06-29,6.898333,6.908333,6.566667,6.718333,6.552989,141600,949
2017-06-30,6.749167,6.825,6.658333,6.666667,6.502594,115200,950
2017-07-03,6.783333,6.783333,6.43,6.43,6.271751,120000,951
2017-07-05,6.52,6.765833,6.52,6.755833,6.589566,378000,952
2017-07-06,6.578333,6.75,6.556667,6.66,6.496092,30000,953
2017-07-07,6.708333,6.920833,6.708333,6.88,6.710677,98400,954
2017-07-10,6.9525,7.055,6.8625,7.0425,6.869177,82800,955
2017-07-11,7.0175,7.166667,7.0175,7.148333,6.972406,74400,956
2017-07-12,7.2575,7.401667,7.2425,7.394167,7.21219,93600,957
2017-07-13,7.4375,7.4875,7.295833,7.345,7.164233,109200,958
2017-07-14,7.416667,7.545833,7.416667,7.530833,7.345492,124800,959
2017-07-17,7.533333,7.536667,7.438333,7.4975,7.312979,219600,960
2017-07-18,7.48,7.489167,7.383333,7.489167,7.304853,58800,961
2017-07-19,7.570833,7.664167,7.559167,7.664167,7.475545,90000,962
2017-07-20,7.694167,7.694167,7.505,7.591667,7.40483,82800,963
2017-07-21,7.548333,7.568333,7.486667,7.566667,7.380445,40800,964
2017-07-24,7.533333,7.533333,7.4575,7.479167,7.295098,44400,965
2017-07-25,7.410833,7.489167,7.370833,7.489167,7.304853,34800,966
2017-07-26,7.6775,7.6925,7.541667,7.646667,7.458476,37200,967
2017-07-27,7.710833,7.710833,7.2275,7.391667,7.209752,129600,968
2017-07-28,7.260833,7.43,7.260833,7.360833,7.179677,49200,969
2017-07-31,7.454167,7.454167,7.248333,7.2925,7.113025,43200,970
2017-08-01,7.339167,7.385833,7.315,7.3725,7.191057,18000,971
2017-08-02,7.510833,7.549167,7.251667,7.386667,7.204875,30000,972
2017-08-03,7.273333,7.341667,7.273333,7.33,7.149602,16800,973
2017-08-04,7.354167,7.4125,7.280833,7.288333,7.108962,44400,974
2017-08-07,7.386667,7.535833,7.375833,7.535833,7.350369,50400,975
2017-08-08,7.555,7.633333,7.473333,7.49,7.305664,56400,976
2017-08-09,7.344167,7.4625,7.334167,7.4625,7.278841,44400,977
2017-08-10,7.399167,7.399167,7.093333,7.093333,6.91876,76800,978
2017-08-11,7.046667,7.155,6.9375,7.100833,6.926075,67200,979
2017-08-14,7.17,7.48,7.17,7.48,7.29591,102000,980
2017-08-15,7.579167,7.579167,7.406667,7.485,7.300787,94800,981
2017-08-16,7.5,7.541667,7.4625,7.483333,7.299162,49200,982
2017-08-17,7.416667,7.416667,7.113333,7.113333,6.938267,22800,983
2017-08-18,7.236667,7.236667,7.086667,7.1925,7.015487,54000,984
2017-08-21,7.161667,7.1825,6.981667,7.06,6.886249,160800,985
2017-08-22,7.159167,7.293333,7.159167,7.293333,7.113837,52800,986
2017-08-23,7.294167,7.348333,7.1975,7.348333,7.167484,56400,987
2017-08-24,7.315,7.344167,7.228333,7.308333,7.128468,54000,988
2017-08-25,7.336667,7.336667,7.163333,7.171667,6.995166,66000,989
2017-08-28,7.189167,7.200833,7.164167,7.200833,7.023614,32400,990
2017-08-29,7.054167,7.2375,7.054167,7.230833,7.052876,31200,991
2017-08-30,7.328333,7.456667,7.32,7.444167,7.260959,102000,992
2017-08-31,7.5,7.593333,7.5,7.585,7.398326,82800,993
2017-09-01,7.640833,7.7175,7.629167,7.635833,7.447908,70800,994
2017-09-05,7.525,7.58,7.333333,7.393333,7.211377,128400,995
2017-09-06,7.479167,7.529167,7.4175,7.493333,7.308916,62400,996
2017-09-07,7.546667,7.546667,7.464167,7.485833,7.3016,54000,997
2017-09-08,7.416667,7.416667,7.29,7.29,7.110587,30000,998
2017-09-11,7.403333,7.616667,7.403333,7.579167,7.392637,61200,999
2017-09-12,7.643333,7.703333,7.625,7.635833,7.447908,51600,1000
2017-09-13,7.6675,7.721667,7.650833,7.704167,7.51456,48000,1001
2017-09-14,7.721667,7.846667,7.716667,7.7925,7.600719,46800,1002
2017-09-15,7.916667,8.075,7.916667,8.045,7.847005,82800,1003
2017-09-18,8.136667,8.381667,8.136667,8.266667,8.063216,98400,1004
2017-09-19,8.285,8.3675,8.285,8.314167,8.109548,42000,1005
2017-09-20,8.405,8.405,7.925,8.110833,7.91122,82800,1006
2017-09-21,8.109167,8.109167,7.925,8.026667,7.829123,45600,1007
2017-09-22,7.939167,8.113333,7.939167,8.113333,7.913657,38400,1008
2017-09-25,8.101667,8.101667,7.7575,7.821667,7.629169,144000,1009
2017-09-26,7.918333,7.989167,7.825833,7.839167,7.646239,69600,1010
2017-09-27,7.9725,8.175,7.9725,8.168333,7.967302,109200,1011
2017-09-28,8.113333,8.308333,8.113333,8.308333,8.103857,49200,1012
2017-09-29,8.335,8.465833,8.3075,8.465833,8.25748,102000,1013
2017-10-02,8.5,8.634167,8.5,8.5775,8.3664,138000,1014
2017-10-03,8.584167,8.6325,8.583333,8.625,8.412732,33600,1015
2017-10-04,8.565833,8.636667,8.521667,8.636667,8.424112,230400,1016
2017-10-05,8.749167,8.749167,8.6175,8.695833,8.481822,34800,1017
2017-10-06,8.699167,8.795,8.683333,8.78,8.563915,42000,1018
2017-10-09,8.768333,8.935833,8.768333,8.933333,8.713474,39600,1019
2017-10-10,9.055833,9.055833,8.858333,9.033333,8.811016,62400,1020
2017-10-11,9.011667,9.235,8.991667,9.108333,8.884169,98400,1021
2017-10-12,9.15,9.15,9.0375,9.0375,8.815081,73200,1022
2017-10-13,9.07,9.1875,9.07,9.158333,8.932938,50400,1023
2017-10-16,9.24,9.266667,9.135,9.255833,9.028038,124800,1024
2017-10-17,9.166667,9.235,9.1525,9.218333,8.991464,48000,1025
2017-10-18,9.248333,9.300833,9.0575,9.299167,9.070305,92400,1026
2017-10-19,9.166667,9.2525,8.981667,9.250833,9.02316,49200,1027
2017-10-20,9.3725,9.4275,9.330833,9.330833,9.101192,48000,1028
2017-10-23,9.430833,9.574167,9.4,9.4725,9.239373,110400,1029
2017-10-24,9.555833,9.616667,9.499167,9.610833,9.374303,88800,1030
2017-10-25,9.564167,9.574167,9.218333,9.369167,9.138583,178800,1031
2017-10-26,9.416667,9.525833,9.3825,9.4975,9.263759,114000,1032
2017-10-27,9.769167,10.098333,9.6775,10.076667,9.828671,147600,1033
2017-10-30,9.769167,10.108333,9.769167,10.108333,9.859559,141600,1034
2017-10-31,10.231667,10.415,10.204167,10.3575,10.102593,165600,1035
2017-11-01,10.481667,10.51,10.191667,10.39,10.134293,177600,1036
2017-11-02,10.370833,10.485,10.325,10.485,10.226954,61200,1037
2017-11-03,10.673333,10.921667,10.431667,10.875833,10.608169,1418400,1038
2017-11-06,11.129167,11.178333,10.875833,11.135,10.860957,632400,1039
2017-11-07,11.1575,11.175833,10.999167,11.096667,10.823567,276000,1040
2017-11-08,11.1575,11.199167,11.041667,11.151667,10.877213,302400,1041
2017-11-09,11.019167,11.083333,10.5,10.740833,10.476492,645600,1042
2017-11-10,10.820833,10.9275,10.754167,10.9275,10.658566,166800,1043
2017-11-13,10.849167,10.980833,10.810833,10.966667,10.696768,229200,1044
2017-11-14,10.966667,10.966667,10.759167,10.936667,10.667508,170400,1045
2017-11-15,10.831667,10.835,10.566667,10.721667,10.457797,176400,1046
2017-11-16,10.865,11.166667,10.865,11.0775,10.804873,222000,1047
2017-11-17,11.164167,11.166667,10.865,10.880833,10.613045,224400,1048
2017-11-20,10.996667,11.2025,10.996667,11.15,10.875589,219600,1049
