Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,32.895000,33.317501,32.237499,33.130001,33.043053,275200
2021-04-06,32.974998,33.272499,31.924999,32.400002,32.314968,137600
2021-04-07,32.532501,32.935001,32.057499,32.627499,32.541866,138000
2021-04-08,33.400002,33.437500,32.825001,33.227501,33.140293,191200
2021-04-09,32.952499,33.342499,32.619999,33.332500,33.245018,90800
2021-04-12,33.055000,33.055000,32.220001,32.845001,32.758801,113200
2021-04-13,33.189999,33.294998,32.380001,32.994999,32.908401,112000
2021-04-14,32.855000,33.062500,31.782499,32.007500,31.923496,130000
2021-04-15,32.770000,33.527500,32.572498,33.407501,33.319824,182400
2021-04-16,33.502499,33.549999,32.937500,33.014999,32.928352,156000
2021-04-19,32.602501,32.647499,30.722500,31.252501,31.170479,292400
2021-04-20,31.207500,31.337500,30.090000,30.412500,30.332682,173200
2021-04-21,30.277500,31.840000,30.277500,31.812500,31.729008,132400
2021-04-22,31.717501,31.872499,30.072500,30.317499,30.237930,167600
2021-04-23,30.305000,31.527500,30.305000,31.299999,31.217852,302400
2021-04-26,31.312500,32.392502,31.205000,32.302502,32.217724,109200
2021-04-27,32.630001,32.724998,31.850000,31.934999,31.851185,88000
2021-04-28,31.692499,31.692499,30.752501,30.927500,30.846331,130800
2021-04-29,31.540001,31.575001,30.639999,31.377501,31.295151,102400
2021-04-30,30.490000,30.807501,29.645000,29.767500,29.689375,216400
2021-05-03,30.102501,30.242500,28.879999,29.080000,29.003679,309600
2021-05-04,28.549999,28.549999,27.049999,28.062500,27.988850,329600
2021-05-05,28.727501,29.139999,28.250000,28.424999,28.350397,56400
2021-05-06,28.230000,28.842501,27.702499,28.735001,28.659586,91200
2021-05-07,29.650000,30.022499,29.292500,29.667500,29.589638,218400
2021-05-10,29.295000,29.295000,27.030001,27.084999,27.013914,193200
2021-05-11,25.712500,27.247499,25.250000,27.190001,27.118641,724400
2021-05-12,26.174999,26.342501,24.812500,24.967501,24.901974,193200
2021-05-13,25.805000,26.235001,24.959999,25.437500,25.370739,141600
2021-05-14,26.125000,27.402500,25.692499,27.052500,26.981501,152400
2021-05-17,26.575001,26.667500,25.817499,26.667500,26.597511,96400
2021-05-18,27.012501,27.215000,26.182501,26.260000,26.191080,76800
2021-05-19,25.240000,27.125000,25.002501,27.112499,27.041342,170800
2021-05-20,27.597500,28.920000,27.597500,28.707500,28.632156,496800
2021-05-21,29.212500,29.334999,28.500000,28.697500,28.622183,113600
2021-05-24,29.212500,30.402500,29.190001,30.059999,29.981106,159600
2021-05-25,30.440001,30.600000,29.840000,30.200001,30.120741,106300
2021-05-26,30.320000,30.629999,29.910000,30.330000,30.250399,61600
2021-05-27,30.320000,30.910000,30.190001,30.590000,30.509716,65400
2021-05-28,30.790001,31.610001,30.730000,31.370001,31.287670,173000
2021-06-01,31.809999,32.209999,30.820000,31.180000,31.098167,186800
2021-06-02,31.180000,32.070000,31.040001,31.840000,31.756435,98100
2021-06-03,31.120001,31.559999,30.580000,30.920000,30.838850,86500
2021-06-04,31.500000,32.619999,31.500000,32.410000,32.324940,127600
2021-06-07,32.310001,32.340000,31.500000,32.060001,31.975859,126300
2021-06-08,32.419998,32.520000,31.200001,31.610001,31.527040,115700
2021-06-09,32.000000,32.000000,31.280001,31.299999,31.217852,167400
2021-06-10,31.410000,32.150002,31.110001,31.950001,31.866148,138700
2021-06-11,32.119999,32.430000,31.910000,32.380001,32.295021,36200
2021-06-14,32.520000,33.099998,32.099998,33.090000,33.003155,76300
2021-06-15,33.070000,33.310001,32.470001,32.580002,32.494495,94000
2021-06-16,32.790001,33.009998,31.639999,32.200001,32.115490,155900
2021-06-17,32.049999,33.700001,32.049999,33.240002,33.152763,151900
2021-06-18,32.939999,33.119999,31.690001,31.910000,31.826252,131100
2021-06-21,31.900000,32.119999,31.260000,32.119999,32.035698,89700
2021-06-22,32.150002,32.700001,31.910000,32.580002,32.494495,60600
2021-06-23,32.660000,33.150002,32.660000,32.849998,32.763783,69300
2021-06-24,33.330002,34.049999,33.330002,33.889999,33.801056,89800
2021-06-25,34.080002,34.200001,33.439999,33.590000,33.501842,60200
2021-06-28,34.000000,35.750000,34.000000,35.540001,35.446724,289300
2021-06-29,35.430000,36.029999,35.049999,36.000000,35.905518,158600
